,0,1,2
0,Nobody wants a supergirl movie. The show is shitty enough.,0,0
1,qanon LIBERALS ARE LIKE MONKEYS THROWING THEIR OWN SHIT AT EVERYTHING,1,0
2,Let's use the TREASON laws to remove Holder from the planet...,1,0
3,How wonderful to see our President on the ground in New Burn NC handing out hot meals and spending time with the hurricane victims!!! Rare site to see a US President who cares so much about the American people. WE love you so thankful for your service to our country. MAGA,0,0
4,You are so dope man,1,0
5,I can't he is already 26,0,0
6,Gawd help us.,0,0
7,He is so brutal. Hopefully he sells the team...,1,0
8,TwitterPurge Documentation Am I the only 1 who gains 50 followers then loses75 followers daily stop TwitterCensorShip of Conservatives URL,0,0
9,She is saving her cAreer,0,0
10,IJustDontSeeMyself ever supporting strict gun control. 2A Liberals4Guns guns SecondAmendment,1,0
11,Goo goo google.,0,0
12,It's a red zone with no TDs.,0,0
13,I think is corrupt a back biter and a snake,0,0
14,Wow. Lying comes so easily to you liberals. Scary.,0,0
15,I do not need to see this film....ANTIFA (see Nazi) propaganda,0,0
16,Robyn I was gonna make vegan scones but I ran out of fucking time. Blame my biochem lab,1,0
17,Not saying much to claim you are smarter than,0,0
18,I remember when the game just fucking started.,0,0
19,it's God not god,0,0
20,I’m sure this pope is on a first name basis with Satan himself. What a disgrace to the papacy,1,0
21,Gun control doesn’t correlate with safety. It’s these facts you should take some time to ponder. URL,0,0
22,Loool you are playing waaaay too rough here. I can’t stop laughing thankyou,0,0
23,America wins with President Trump... Not Google. MAGA AmericaFirst,0,0
24,All one and five dollar bills,0,0
25,Thanks for the follow! The days of cybersecurity brand reputation marketing have just begun. And you are now a part of it!,0,0
26,Still no excuse... Where TF are her parents??? They are using him &amp; he is using her.,1,0
27,that's what you are implying that no-one took correct records-having been to hospital it is usual for the doctors or nurses to record as they go-so it is your claim that so many are incompetent if no single record was produced correctly-,1,0
28,Trump does not understand his job? Trump will go down as the most successful and Obama and his entire admin as most corrupt,1,0
29,Burt Reynolds was a man's man. None like him nor will there ever be again.,0,0
30,And he is out for game 2. He has played like 6 games in 4 years. The team can no longer depend on him. Get somebody here that actually plays football games.,0,0
31,Aw what? That's devastating. Hope you are ok. I love you Biter,0,0
32,Frankly I hate that argument. Gun control. Healthcare. Student loans. Tax policy. Climate change. Social Security. Medicare. Even car emissions and mileage. There is a clear difference on each and every policy.,1,0
33,Somebody do something!!! This show sucks anymore!! The set designers are good though! firemalyoung,1,0
34,Lmfaoooooo,0,0
35,If Kerry clown is actually doing it and admits he is and it's a crime. Throw his ass in jail. He should be arrested...RIGHT ???,1,0
36,What kind of classes are you taking? You have ass homework? Is this an anatomy class?,1,0
37,It’s because you are evil!!,1,0
38,Just imagine the tyranny we’d be living under had these leftwing tryants waging war on us and our duly elected president and the American Republic itself gained tyrannical control of the US Supreme Court the neocon’s NeverTrump crew was trying to deliver to them? MAGA,1,0
39,Jesus inherited the sinful genes from sinful Mary. It was in Jesus blood to commit sin.,0,0
40,About fifty deaths per weekend caused by guns in Chicago which has very strict gun control laws-,0,0
41,we would hang 70 plus on the frogs and cocks!,0,0
42,Thanks Awake. Love you guys. ‍ Following all Patriots.,0,0
43,"Dear Paul McFartney- You had us at Beatles. You lost us at President Mad Captain. Burn in hell- Jon."" URL",1,0
44,7 car and truck ramming attacks in Europe and America's gun control lobby URL,0,0
45,Libertarians and conservatives working together to achieve authoritarianism...shock. The name PPC (similar to PRC) sure was a good choice for them.,0,0
46,AMEN !!! We're Ready !!!,0,0
47,A clear majority of conservatives approve of Trump and the GOP. Don’t be stupid.,1,0
48,. continues our look into government spending. Part II is focused on funding announcements made in battleground Quebec over the summer cdnpoli URL,0,0
49,But will she stand up and do the right thing...She is a RINO.,0,0
50,Obama is s sweet talker but very dangerous in his views and the actions he took and the scandals he has. Giving weapons &amp; money to terrorists. He aligned himself and bowed to them. Shadow govt to sabotage President Trump. Obama uses soros to fund antifa blm,0,0
51,-Yogi Bear -Nick &amp; Nickelodeon -FoodNetwork -HGTV -Ancient Aliens -Hallmark Channel Next channel to surpass CNN in ratings: ESPN,0,0
52,Conservatives Republicans are TRAITORS to America,1,0
53,MSM has no respect left. They have really reached the point of being the EOTP,0,0
54,They are Conservatives to be put on the Supreme Court that don’t have all of these blemishes on their record these questions of their character there are better candidates. They need to find one. This one is the POTUS pic because he thinks the POTUS should be above the law,0,0
55,Funny how he thinks he is soooo important...not...,0,0
56,POS still at it URL,0,0
57,Can u fuck off already,1,0
58,I’m so sorry for what you are dealing with. Hope the next place will be much better!,0,0
59,Tbh if you’re doing international adoption you’re pretty much buying a child ‍. People do spend a lot adopting children bc our system allows people to baby broker for profit. In America if you’re going through an agency you are in part buying a child,0,0
60,looks so so good URL,0,0
61,And he’s actually been a gun control advocate for a long time if you bothered to do a little research.,0,0
62,"John Kerry Should be Made to Answer for His Meetings in Iran"" URL TCOT MAGA RedNationRising""",0,0
63,RETHINK...STOP CENSORING CONSERVATIVES...,0,0
64,Don't you liberals want to lower the voting age to 16,0,0
65,"Your article on Clay Travis Politics in Sports "" is the same old ANTIFA-LIKE RANT""",0,0
66,He lived in a country with no gun control. Sad but true,0,0
67,- both don’t support Medicare for all - both voted against the dreamers - both voted for the racist police brutality bill - both voted to give Donald trump and even larger military budget . - both didn’t do a thing on gun control - both voted for the racist payday loans bill,1,0
68,She is trust me lol,0,0
69,Worst place I've experienced that is the fucking movies,1,0
70,That’s not what he is saying. Situations are similar.,0,0
71,1st of all who trust the FBI to do a polygraph?I don't! She can pass it if she's a habitual liar.They have no fear or caring about what or who they lie about. She's probably a closet ANTIFA member.Insane to wait 30 yrs.If true others could have been hurt bc of her complancey.,0,0
72,Thanks God! maga URL,0,0
73,Bite your vicious tongue!!,1,0
74,Where does Mrs May get her 'cunning plans' from? URL,0,0
75,. won this round. Yucker ALWAYS interrupts his guests and it didn’t work this time. He is so rude. MichaelAvenatti URL,1,0
76,Yes he is and it's giving a Good View,0,0
77,An obvious last minute liberal ploy to delay confirmation. More dirty tricks since the liberals lost the previous election.,0,0
78,Great sis URL,0,0
