,0,1,2
0,Nobody wants a supergirl movie. The show is shitty enough.,0,0
1,How wonderful to see our President on the ground in New Burn NC handing out hot meals and spending time with the hurricane victims!!! Rare site to see a US President who cares so much about the American people. WE love you so thankful for your service to our country. MAGA,0,0
2,I can't he is already 26,0,0
3,Gawd help us.,0,0
4,TwitterPurge Documentation Am I the only 1 who gains 50 followers then loses75 followers daily stop TwitterCensorShip of Conservatives URL,0,0
5,She is saving her cAreer,0,0
6,Goo goo google.,0,0
7,It's a red zone with no TDs.,0,0
8,I think is corrupt a back biter and a snake,0,0
9,Wow. Lying comes so easily to you liberals. Scary.,0,0
10,I do not need to see this film....ANTIFA (see Nazi) propaganda,0,0
11,Not saying much to claim you are smarter than,0,0
12,I remember when the game just fucking started.,0,0
13,it's God not god,0,0
14,Gun control doesn’t correlate with safety. It’s these facts you should take some time to ponder. URL,0,0
15,Loool you are playing waaaay too rough here. I can’t stop laughing thankyou,0,0
16,America wins with President Trump... Not Google. MAGA AmericaFirst,0,0
17,All one and five dollar bills,0,0
18,Thanks for the follow! The days of cybersecurity brand reputation marketing have just begun. And you are now a part of it!,0,0
19,Burt Reynolds was a man's man. None like him nor will there ever be again.,0,0
20,And he is out for game 2. He has played like 6 games in 4 years. The team can no longer depend on him. Get somebody here that actually plays football games.,0,0
21,Aw what? That's devastating. Hope you are ok. I love you Biter,0,0
22,Lmfaoooooo,0,0
23,Jesus inherited the sinful genes from sinful Mary. It was in Jesus blood to commit sin.,0,0
24,About fifty deaths per weekend caused by guns in Chicago which has very strict gun control laws-,0,0
25,we would hang 70 plus on the frogs and cocks!,0,0
26,Thanks Awake. Love you guys. ‍ Following all Patriots.,0,0
27,7 car and truck ramming attacks in Europe and America's gun control lobby URL,0,0
28,Libertarians and conservatives working together to achieve authoritarianism...shock. The name PPC (similar to PRC) sure was a good choice for them.,0,0
29,AMEN !!! We're Ready !!!,0,0
30,. continues our look into government spending. Part II is focused on funding announcements made in battleground Quebec over the summer cdnpoli URL,0,0
31,But will she stand up and do the right thing...She is a RINO.,0,0
32,Obama is s sweet talker but very dangerous in his views and the actions he took and the scandals he has. Giving weapons &amp; money to terrorists. He aligned himself and bowed to them. Shadow govt to sabotage President Trump. Obama uses soros to fund antifa blm,0,0
33,-Yogi Bear -Nick &amp; Nickelodeon -FoodNetwork -HGTV -Ancient Aliens -Hallmark Channel Next channel to surpass CNN in ratings: ESPN,0,0
34,MSM has no respect left. They have really reached the point of being the EOTP,0,0
35,They are Conservatives to be put on the Supreme Court that don’t have all of these blemishes on their record these questions of their character there are better candidates. They need to find one. This one is the POTUS pic because he thinks the POTUS should be above the law,0,0
36,Funny how he thinks he is soooo important...not...,0,0
37,POS still at it URL,0,0
38,I’m so sorry for what you are dealing with. Hope the next place will be much better!,0,0
39,Tbh if you’re doing international adoption you’re pretty much buying a child ‍. People do spend a lot adopting children bc our system allows people to baby broker for profit. In America if you’re going through an agency you are in part buying a child,0,0
40,looks so so good URL,0,0
41,And he’s actually been a gun control advocate for a long time if you bothered to do a little research.,0,0
42,"John Kerry Should be Made to Answer for His Meetings in Iran"" URL TCOT MAGA RedNationRising""",0,0
43,RETHINK...STOP CENSORING CONSERVATIVES...,0,0
44,Don't you liberals want to lower the voting age to 16,0,0
45,"Your article on Clay Travis Politics in Sports "" is the same old ANTIFA-LIKE RANT""",0,0
46,He lived in a country with no gun control. Sad but true,0,0
47,She is trust me lol,0,0
48,That’s not what he is saying. Situations are similar.,0,0
